GenPept accession,Phylum,Class
YP_224083, Negarnaviricota, Monjiviricetes
YP_224091, Kitrinoviricota, Alsuviricetes
YP_224130, Kitrinoviricota, Alsuviricetes
YP_224134, Kitrinoviricota, Alsuviricetes
YP_227355, Pisuviricota, Duplopiviricetes
YP_227356, Kitrinoviricota, Alsuviricetes
YP_233102, Kitrinoviricota, Alsuviricetes
YP_238534, Negarnaviricota, Monjiviricetes
YP_239361, Pisuviricota, Duplopiviricetes
YP_241110, Kitrinoviricota, Alsuviricetes
YP_254713, Pisuviricota, Stelpaviricetes
YP_263303, Kitrinoviricota, Alsuviricetes
YP_271857, Pisuviricota, Stelpaviricetes
YP_271922, Pisuviricota, Duplopiviricetes
YP_325662, Kitrinoviricota, Alsuviricetes
YP_338085, Negarnaviricota, Monjiviricetes
YP_392465, Pisuviricota, Pisoniviricetes
YP_392467, Duplornaviricota, Chrymotiviricetes
YP_392480, Pisuviricota, Duplopiviricetes
YP_392482, Duplornaviricota, Chrymotiviricetes
YP_392490, Duplornaviricota, Resentoviricetes
YP_406375, Kitrinoviricota, Alsuviricetes
YP_425092, Negarnaviricota, Monjiviricetes
YP_438201, Kitrinoviricota, Alsuviricetes
YP_438202, Kitrinoviricota, Alsuviricetes
YP_443925, Duplornaviricota, Resentoviricetes
YP_459959, Kitrinoviricota, Tolucaviricetes
YP_460026, Duplornaviricota, Resentoviricetes
YP_460038, Duplornaviricota, Resentoviricetes
YP_516229, Negarnaviricota, Ellioviricetes
YP_516233, Negarnaviricota, Ellioviricetes
YP_529485, Pisuviricota, Stelpaviricetes
YP_529550, Pisuviricota, Pisoniviricetes
YP_529670, Kitrinoviricota, Alsuviricetes
YP_610949, Pisuviricota, Stelpaviricetes
YP_667844, Kitrinoviricota, Alsuviricetes
