GenPept accession,Phylum,Class
YP_009104360, Pisuviricota, Pisoniviricetes
YP_009104368, Kitrinoviricota, Alsuviricetes
YP_009104369, Pisuviricota, Pisoniviricetes
YP_009104375, Kitrinoviricota, Alsuviricetes
YP_009109557, Kitrinoviricota, Flasuviricetes
YP_009109558, Kitrinoviricota, Flasuviricetes
YP_009109559, Kitrinoviricota, Alsuviricetes
YP_009109564, Pisuviricota, Pisoniviricetes
YP_009109567, Kitrinoviricota, Flasuviricetes
YP_009109602, Kitrinoviricota, Flasuviricetes
YP_009110667, Pisuviricota, Pisoniviricetes
YP_009110686, Negarnaviricota, Insthoviricetes
YP_009111311, Pisuviricota, Pisoniviricetes
YP_009111314, Pisuviricota, Pisoniviricetes
YP_009111336, Pisuviricota, Pisoniviricetes
YP_009112712, Pisuviricota, Pisoniviricetes
YP_009112883, Kitrinoviricota, Alsuviricetes
YP_009116634, Kitrinoviricota, Tolucaviricetes
YP_009116639, Kitrinoviricota, Tolucaviricetes
YP_009116793, Negarnaviricota, Ellioviricetes
YP_009116874, Pisuviricota, Pisoniviricetes
YP_009116875, Pisuviricota, Pisoniviricetes
YP_009118268, Pisuviricota, Pisoniviricetes
YP_009118269, Pisuviricota, Pisoniviricetes
YP_009118270, Pisuviricota, Pisoniviricetes
YP_009118960, Pisuviricota, Pisoniviricetes
YP_009121743, Pisuviricota, Pisoniviricetes
YP_009121772, Pisuviricota, Pisoniviricetes
YP_009121785, Lenarviricota, Howeltoviricetes
YP_009126730, Pisuviricota, Stelpaviricetes
YP_009126731, Kitrinoviricota, Alsuviricetes
YP_009126871, Kitrinoviricota, Flasuviricetes
YP_009126872, Lenarviricota, Howeltoviricetes
YP_009126873, Lenarviricota, Howeltoviricetes
YP_009126875, Kitrinoviricota, Flasuviricetes
YP_009129265, Pisuviricota, Pisoniviricetes
YP_009129267, Pisuviricota, Stelpaviricetes
YP_009130620, Negarnaviricota, Monjiviricetes
YP_009130641, Pisuviricota, Pisoniviricetes
YP_009133208, Pisuviricota, Pisoniviricetes
YP_009134730, Kitrinoviricota, Alsuviricetes
YP_009137510, Pisuviricota, Pisoniviricetes
YP_009140432, Kitrinoviricota, Alsuviricetes
YP_009140468, Pisuviricota, Pisoniviricetes
YP_009140472, Pisuviricota, Pisoniviricetes
YP_009140475, Pisuviricota, Pisoniviricetes
YP_009140560, Pisuviricota, Pisoniviricetes
YP_009140562, Pisuviricota, Pisoniviricetes
YP_009141008, Negarnaviricota, Ellioviricetes
YP_009141010, Negarnaviricota, Ellioviricetes
YP_009142784, Pisuviricota, Pisoniviricetes
YP_009142787, Pisuviricota, Pisoniviricetes
YP_009143301, Pisuviricota, Duplopiviricetes
YP_009143307, Duplornaviricota, Chrymotiviricetes
YP_009143309, Kitrinoviricota, Tolucaviricetes
YP_009143313, Duplornaviricota, Chrymotiviricetes
YP_009143521, Pisuviricota, Pisoniviricetes
YP_009143529, Duplornaviricota, Chrymotiviricetes
YP_009154706, Pisuviricota, Stelpaviricetes
YP_009158877, Duplornaviricota, Resentoviricetes
YP_009158878, Duplornaviricota, Resentoviricetes
YP_009158901, Duplornaviricota, Resentoviricetes
YP_009158913, Duplornaviricota, Chrymotiviricetes
YP_009159826, Kitrinoviricota, Alsuviricetes
YP_009160324, Kitrinoviricota, Alsuviricetes
YP_009162058, Kitrinoviricota, Tolucaviricetes
YP_009162330, Duplornaviricota, Chrymotiviricetes
YP_009162372, Pisuviricota, Stelpaviricetes
YP_009162614, Kitrinoviricota, Tolucaviricetes
YP_009162622, Kitrinoviricota, Alsuviricetes
YP_009164029, Kitrinoviricota, Flasuviricetes
YP_009164030, Pisuviricota, Pisoniviricetes
YP_009164031, Kitrinoviricota, Flasuviricetes
YP_009165497, Negarnaviricota, Monjiviricetes
YP_009165498, Pisuviricota, Pisoniviricetes
YP_009165593, Pisuviricota, Pisoniviricetes
YP_009165594, Pisuviricota, Pisoniviricetes
YP_009165595, Pisuviricota, Pisoniviricetes
YP_009165597, Lenarviricota, Howeltoviricetes
YP_009165997, Kitrinoviricota, Alsuviricetes
YP_009169331, Kitrinoviricota, Flasuviricetes
YP_009173859, Kitrinoviricota, Magsaviricetes
YP_009175040, Kitrinoviricota, Magsaviricetes
YP_009175089, Pisuviricota, Stelpaviricetes
YP_009176971, Negarnaviricota, Monjiviricetes
YP_009176977, Negarnaviricota, Monjiviricetes
YP_009176985, Negarnaviricota, Monjiviricetes
YP_009176999, Negarnaviricota, Monjiviricetes
YP_009177014, Negarnaviricota, Monjiviricetes
YP_009177021, Negarnaviricota, Monjiviricetes
YP_009177215, Negarnaviricota, Monjiviricetes
YP_009177231, Negarnaviricota, Monjiviricetes
YP_009177238, Negarnaviricota, Monjiviricetes
YP_009177247, Negarnaviricota, Monjiviricetes
YP_009177606, Pisuviricota, Duplopiviricetes
YP_009177651, Negarnaviricota, Monjiviricetes
YP_009177701, Negarnaviricota, Monjiviricetes
YP_009177704, Negarnaviricota, Monjiviricetes
YP_009177722, Negarnaviricota, Monjiviricetes
YP_009179213, Pisuviricota, Pisoniviricetes
YP_009179216, Pisuviricota, Pisoniviricetes
YP_009179227, Kitrinoviricota, Flasuviricetes
YP_009179230, Duplornaviricota, Chrymotiviricetes
YP_009182154, Pisuviricota, Duplopiviricetes
YP_009182156, Pisuviricota, Pisuviricota_other
YP_009182158, Pisuviricota, Duplopiviricetes
YP_009182160, Lenarviricota, Howeltoviricetes
YP_009182161, Lenarviricota, Howeltoviricetes
YP_009182167, Duplornaviricota, Chrymotiviricetes
YP_009182172, Pisuviricota, Pisoniviricetes
YP_009182176, Duplornaviricota, Chrymotiviricetes
YP_009182177, Negarnaviricota, Monjiviricetes
YP_009182181, Duplornaviricota, Chrymotiviricetes
YP_009182186, Negarnaviricota, Monjiviricetes
YP_009182188, Duplornaviricota, Chrymotiviricetes
YP_009182190, Duplornaviricota, Chrymotiviricetes
YP_009182195, Duplornaviricota, Chrymotiviricetes
YP_009182332, Duplornaviricota, Chrymotiviricetes
YP_009182336, Pisuviricota, Duplopiviricetes
YP_009204560, Negarnaviricota, Monjiviricetes
YP_009208148, Lenarviricota, Leviviricetes
